# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,state_counts,change_counts,state_counts_std,change_counts_std
66,1715466771.6348379,211200,12.0,0.03125,1.34375,0,266.75,0.07473959028720856,0.2589055299758911,2.48603892326355,2.3490724563598633,0.23421050608158112,-0.09724411368370056,1.0,1.0,0.0,0.0
67,1715466796.1825938,214400,14.0,0.0625,0.625,0,257.71429443359375,0.10892858356237411,0.281863272190094,-1.4049516916275024,-1.3651297092437744,0.05740818381309509,-0.09723019599914551,1.0,1.0,0.0,0.0
68,1715466824.21252,217600,9.0,0.0,1.3125,0,288.0,0.0,0.0,-1.077070951461792,-0.9808435440063477,0.0009995241416618228,-0.09722688049077988,1.0,1.0,0.0,0.0
69,1715466851.6260514,220800,12.0,0.03125,1.375,0,269.66668701171875,0.06562500447034836,0.22733168303966522,2.789491653442383,2.684875011444092,0.20184308290481567,-0.09722647815942764,1.0,1.0,0.0,0.0
70,1715466876.9825366,224000,12.0,0.0,1.34375,0,288.0,0.0,0.0,-2.223639965057373,-2.1303844451904297,0.003962913993746042,-0.0972185730934143,1.0,1.0,0.0,0.0
71,1715466900.546323,227200,10.0,0.0,1.0,0,288.0,0.0,0.0,-0.5474005341529846,-0.45058342814445496,0.00041107204742729664,-0.09722818434238434,1.0,1.0,0.0,0.0
72,1715466927.9974365,230400,13.0,0.0,0.59375,0,288.0,0.0,0.0,-0.20278263092041016,-0.10583961009979248,0.00028520048363134265,-0.09722821414470673,1.0,1.0,0.0,0.0
73,1715466954.9333282,233600,10.0,0.0,0.8125,0,288.0,0.0,0.0,-0.1360102742910385,-0.03902757912874222,0.00024462793953716755,-0.0972273200750351,1.0,1.0,0.0,0.0
74,1715466981.9632804,236800,13.0,0.03125,1.125,0,271.8461608886719,0.058173082768917084,0.20974601805210114,1.7171984910964966,1.6874150037765503,0.1270112693309784,-0.09722781926393509,1.0,1.0,0.0,0.0
75,1715467006.1555295,240000,10.0,0.0,0.875,0,288.0,0.0,0.0,-1.2574260234832764,-1.1614716053009033,0.0012646366376429796,-0.09721913933753967,1.0,1.0,0.0,0.0
76,1715467033.9179254,243200,12.0,0.0,0.96875,0,288.0,0.0,0.0,-0.44839340448379517,-0.3515864610671997,0.00041298248106613755,-0.09721992164850235,1.0,1.0,0.0,0.0
77,1715467060.9426992,246400,11.0,0.0,0.78125,0,288.0,0.0,0.0,-0.08447106182575226,0.012468061409890652,0.0002801626396831125,-0.09721928834915161,1.0,1.0,0.0,0.0
78,1715467086.116669,249600,12.0,0.0,0.625,0,288.0,0.0,0.0,-0.15329518914222717,-0.05631297826766968,0.00023911889002192765,-0.09722132235765457,1.0,1.0,0.0,0.0
79,1715467109.102941,252800,10.0,0.0,0.65625,0,288.0,0.0,0.0,-0.19929543137550354,-0.10228059440851212,0.000204447191208601,-0.09721928089857101,1.0,1.0,0.0,0.0
80,1715467135.9252539,256000,11.0,0.03125,1.125,0,277.0,0.04346591234207153,0.14416012167930603,0.9537239670753479,1.0003305673599243,0.05061314254999161,-0.09721974283456802,1.0,1.0,0.0,0.0
81,1715467163.1055508,259200,12.0,0.0625,1.78125,0,272.5833435058594,0.06484375894069672,0.16972114145755768,1.9109028577804565,1.8946952819824219,0.11341701447963715,-0.09720935672521591,1.0,1.0,0.0,0.0
82,1715467189.9080446,262400,11.0,0.0,0.90625,0,288.0,0.0,0.0,-2.2777819633483887,-2.1848251819610596,0.004254509694874287,-0.09721139818429947,1.0,1.0,0.0,0.0
83,1715467213.6874986,265600,13.0,0.03125,0.84375,0,275.76922607421875,0.045913465321063995,0.1655433475971222,1.1817506551742554,1.1835966110229492,0.09537075459957123,-0.09721671044826508,1.0,1.0,0.0,0.0
