# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_state_rewards,mean_change_rewards,state_counts,change_counts,state_counts_std,change_counts_std
101,1715511440.5737586,323200,14.0,0.03125,1.40625,0,284.21429443359375,0.01897321455180645,0.07099126279354095,-0.41462206840515137,-0.335317999124527,0.017243575304746628,-0.09654763340950012,8.300781337311491e-05,0.00011261537292739376,0.00019562318630050868,0.3566439747810364,0.1114223375916481,1429.90625,1029.65625,38.99541091918945,377.74932861328125
102,1715511473.643842,326400,12.0,0.09375,1.46875,0,229.6666717529297,0.20729166269302368,0.3771301507949829,2.6641716957092285,2.4809226989746094,0.27981454133987427,-0.09656554460525513,0.0007773436955176294,0.00011257037112955004,0.0008899141103029251,0.3359765410423279,0.10362990945577621,1445.0625,1042.0,39.651390075683594,381.3963928222656
103,1715511495.7877922,329600,11.0,0.0,1.53125,0,288.0,0.0,0.0,-2.494075298309326,-2.403144359588623,0.005673868115991354,-0.09660492092370987,0.0,0.00011560284474398941,0.00011560284474398941,0.34276214241981506,0.10548743605613708,1452.40625,1047.40625,39.726036071777344,382.2574768066406
104,1715511528.6673157,332800,12.0,0.0625,2.03125,0,278.75,0.0455729179084301,0.12810392677783966,0.6253563761711121,0.6753842830657959,0.04657690227031708,-0.09660482406616211,0.00017089843458961695,0.00013195001520216465,0.0003028484352398664,0.38072943687438965,0.11339631676673889,1469.6875,1064.25,39.86443328857422,383.3764953613281
105,1715511552.1796906,336000,13.0,0.03125,1.59375,0,271.3077087402344,0.05985577031970024,0.2158130556344986,0.5903168320655823,0.5471956729888916,0.13968788087368011,-0.09656671434640884,0.00024316406052093953,0.00012039331340929493,0.0003635573957581073,0.37338194251060486,0.1084432601928711,1478.9375,1068.5625,40.23005676269531,385.79888916015625
106,1715511584.5796206,339200,11.0,0.03125,0.65625,0,285.18182373046875,0.017897728830575943,0.059360045939683914,-1.8498644828796387,-1.757112741470337,0.0037832222878932953,-0.09653495997190475,6.152343848953024e-05,9.490177035331726e-05,0.0001564252161188051,0.30448657274246216,0.0955720767378807,1492.3125,1082.125,40.479610443115234,387.793212890625
107,1715511607.9445372,342400,13.0,0.03125,1.3125,0,277.3077087402344,0.04110577329993248,0.14820896089076996,0.17818617820739746,0.25684961676597595,0.017812930047512054,-0.09647638350725174,0.0001669921912252903,0.00011418112262617797,0.0002811732701957226,0.37072470784187317,0.10199040919542313,1502.125,1091.09375,40.382415771484375,388.9892272949219
108,1715511640.4095483,345600,9.0,0.0625,2.09375,0,275.6666564941406,0.0607638880610466,0.14158622920513153,0.8792163729667664,0.9248947501182556,0.05081652104854584,-0.09649492055177689,0.00017089843458961695,0.00011131510109407827,0.0002822135284077376,0.35631197690963745,0.10591987520456314,1511.1875,1099.46875,40.72508239746094,391.598876953125
109,1715511663.678597,348800,11.0,0.03125,1.46875,0,268.54547119140625,0.06988636404275894,0.231786847114563,1.8425965309143066,1.7512129545211792,0.18789049983024597,-0.09650693088769913,0.00024023436708375812,0.00010802614997373894,0.00034826050978153944,0.3326967656612396,0.10530063509941101,1524.75,1110.9375,40.86689758300781,393.71722412109375
110,1715511694.9957194,352000,15.0,0.0,1.28125,0,288.0,0.0,0.0,-2.8167827129364014,-2.727550983428955,0.007179806008934975,-0.09641142189502716,0.0,0.0001277740957448259,0.0001277740957448259,0.3681226372718811,0.1134609654545784,1543.1875,1124.0,40.96690368652344,394.66583251953125
111,1715511719.0491672,355200,8.0,0.0625,1.875,0,265.375,0.095703125,0.19922378659248352,2.141448736190796,2.1364846229553223,0.10138912498950958,-0.09642510861158371,0.00023925780260469764,0.00012064577458659187,0.00035990355536341667,0.3492062985897064,0.10799768567085266,1549.875,1130.3125,41.04493713378906,396.3598327636719
112,1715511750.8317282,358400,16.0,0.0,1.5625,0,288.0,0.0,0.0,-2.3741350173950195,-2.283067226409912,0.005404175259172916,-0.09647209942340851,0.0,0.00012013965169899166,0.00012013965169899166,0.3561904728412628,0.10932212322950363,1556.1875,1140.25,41.80937194824219,398.19647216796875
113,1715511776.0812821,361600,10.0,0.125,1.46875,0,249.5,0.1603125035762787,0.24442146718502045,3.6395978927612305,3.5539133548736572,0.18214444816112518,-0.09645979851484299,0.00050097651546821,0.00011467528383946046,0.0006156518356874585,0.3553478419780731,0.10029792785644531,1577.5,1150.6875,41.33779525756836,400.0109558105469
114,1715511807.6071148,364800,10.0,0.03125,1.09375,0,284.70001220703125,0.02031250111758709,0.06423376500606537,-2.7082877159118652,-2.6267359256744385,0.014953169971704483,-0.09650498628616333,6.347656017169356e-05,0.00011616414121817797,0.00017964070138987154,0.3578733801841736,0.11203105747699738,1583.375,1164.8125,42.31134796142578,400.98876953125
115,1715511831.8116457,368000,11.0,0.03125,0.96875,0,284.2727355957031,0.020738637074828148,0.068782277405262,-0.950959324836731,-0.8584372401237488,0.004025690257549286,-0.09654775261878967,7.12890614522621e-05,0.00010993645992130041,0.00018122552137356251,0.3343272805213928,0.10393253713846207,1599.0625,1171.3125,41.8889274597168,403.995849609375
116,1715511863.7756193,371200,15.0,0.03125,1.1875,0,282.2666931152344,0.02458333410322666,0.09521084278821945,0.9487233757972717,1.0046099424362183,0.04064466804265976,-0.0965312272310257,0.00011523437569849193,9.776561637409031e-05,0.00021299999207258224,0.3309371769428253,0.09920447319746017,1605.1875,1181.40625,42.5416374206543,404.95001220703125
117,1715511890.9164822,374400,5.0,0.0625,1.4375,0,248.0,0.16500000655651093,0.23484745621681213,-0.26307976245880127,-0.21122996509075165,0.0446661114692688,-0.09651590138673782,0.00025781249860301614,9.51863985392265e-05,0.0003529988753143698,0.31559085845947266,0.1017213985323906,1618.96875,1191.125,42.42522048950195,407.1202392578125
118,1715511920.2126808,377600,16.0,0.03125,1.59375,0,287.1875,0.0087890625,0.03515625,-0.9499218463897705,-0.8562384843826294,0.0028403052128851414,-0.09652361273765564,4.394531060825102e-05,0.00011458367953309789,0.0001585289865033701,0.3517738878726959,0.10597733408212662,1627.375,1200.9375,42.81060791015625,407.98089599609375
