# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,state_counts,change_counts,state_counts_std,change_counts_std
203,1716220905.9208317,649600,20.0,11841303.78125,0.0,2145190116,178.0500030517578,3.5,1.273206114768982,31.051620483398438,17.0557918548584,14.097195625305176,-0.10136853158473969,1.0,1.0,0.0,0.0
204,1716220936.233424,652800,16.0,68303888.90625,0.0,2145190116,186.5625,4.100000381469727,1.3165616989135742,-39.824928283691406,-48.964691162109375,9.236774444580078,-0.0970115214586258,1.0,1.0,0.0,0.0
205,1716220963.2373416,656000,15.0,-56736307.625,0.0,2145190116,188.06668090820312,3.8333334922790527,1.6242218017578125,14.51981258392334,7.066562175750732,7.553638458251953,-0.10038874298334122,1.0,1.0,0.0,0.0
206,1716220994.4035664,659200,20.0,20900149.71875,0.0,2144122919,175.3000030517578,3.1000001430511475,1.7167904376983643,-17.58256721496582,-28.339914321899414,10.855770111083984,-0.09842275083065033,1.0,1.0,0.0,0.0
207,1716221021.6725168,662400,17.0,-33160287.6875,0.0,2145190116,191.47059631347656,3.6882355213165283,1.769845724105835,18.65677261352539,9.268304824829102,9.493489265441895,-0.10502306371927261,1.0,1.0,0.0,0.0
208,1716221051.6721528,665600,18.0,92611258.90625,0.0,2145190116,183.22222900390625,3.5444447994232178,1.14902663230896,-2.1773123741149902,-8.970319747924805,6.8924970626831055,-0.09948960691690445,1.0,1.0,0.0,0.0
209,1716221083.3419535,668800,18.0,-18415682.09375,0.0,2145190116,192.55555725097656,3.6555557250976562,1.4234269857406616,19.841028213500977,13.36433219909668,6.5817694664001465,-0.10507398098707199,1.0,1.0,0.0,0.0
210,1716221114.056434,672000,16.0,-30367562.1875,0.0,2144122919,193.5,3.7875003814697266,1.3524671792984009,18.362211227416992,5.8725433349609375,12.593332290649414,-0.10366489738225937,1.0,1.0,0.0,0.0
211,1716221145.2675455,675200,18.0,17217597.5625,0.0,2145190116,172.0,3.711111307144165,0.9785280227661133,22.916561126708984,13.158929824829102,9.860179901123047,-0.10254888236522675,1.0,1.0,0.0,0.0
212,1716221174.3947086,678400,17.0,176833946.875,0.0,2145190116,197.11764526367188,4.100000381469727,1.3693066835403442,3.1574034690856934,-6.638382911682129,9.892641067504883,-0.0968547984957695,1.0,1.0,0.0,0.0
213,1716221202.7840073,681600,17.0,214027726.34375,0.0,2145190116,173.94117736816406,3.5117650032043457,1.2277432680130005,-3.202089548110962,-13.72005844116211,10.61214542388916,-0.09417645633220673,1.0,1.0,0.0,0.0
214,1716221234.3483992,684800,17.0,-7899022.1875,0.0,2145190116,200.23529052734375,3.5117650032043457,1.2776360511779785,14.700928688049316,6.486666202545166,8.313994407653809,-0.09973286837339401,1.0,1.0,0.0,0.0
215,1716221261.1501672,688000,19.0,21642701.4375,0.0,2144122919,162.68421936035156,3.8368425369262695,1.367971420288086,38.56209182739258,27.196767807006836,11.471441268920898,-0.1061178520321846,1.0,1.0,0.0,0.0
216,1716221290.109048,691200,18.0,147013193.25,0.0,2145190116,177.1666717529297,3.433333396911621,1.455214023590088,-2.027693033218384,-11.415315628051758,9.490592956542969,-0.10297035425901413,1.0,1.0,0.0,0.0
217,1716221319.999553,694400,19.0,53697066.78125,0.0,2145190116,173.05262756347656,3.310526132583618,1.084176778793335,-9.176279067993164,-15.099250793457031,6.02509069442749,-0.10211918503046036,1.0,1.0,0.0,0.0
218,1716221349.9962025,697600,19.0,64691612.03125,0.0,2145190116,164.15789794921875,3.678947925567627,1.4649914503097534,41.29879379272461,30.8724422454834,10.530067443847656,-0.1037183403968811,1.0,1.0,0.0,0.0
219,1716221378.9806287,700800,19.0,69494303.90625,0.0,2145190116,182.89474487304688,3.41579008102417,1.2932575941085815,3.291079044342041,-3.4841387271881104,6.877644062042236,-0.1024262011051178,1.0,1.0,0.0,0.0
